,place_name,place_location,place_feature,place_star,operating_time
84,테디베어뮤지엄 제주점,제주특별자치도 서귀포시 중문관광로110번길 31 ,테디베어뮤지엄,,09:00 ~ 18:00
85,제주커피박물관 바움,제주특별자치도 서귀포시 성산읍 서성일로1168번길 89-17 ,박물관,,09:30 ~ 18:30
86,아프리카박물관,제주특별자치도 서귀포시 이어도로 49 아프리카박물관 ,박물관,,10:00 ~ 19:00
87,세계술박물관,제주특별자치도 서귀포시 표선면 한마음초등로 431 ,박물관,,09:00 ~ 18:00
88,제주유리박물관,제주특별자치도 서귀포시 중산간서로 1403 ,박물관,,09:00 ~ 22:00
89,수목원테마파크 아이스뮤지엄,제주특별자치도 제주시 은수길 69 ,박물관,,09:00 ~ 21:00
90,수풍석박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 79 ,박물관,1.7점,
91,세계조가비박물관,제주특별자치도 서귀포시 태평로 284 ,박물관,4.0점,09:00 ~ 18:30
92,제주교육박물관,제주특별자치도 제주시 오복4길 25 ,박물관,,
93,초콜릿랜드,제주특별자치도 서귀포시 중문관광로110번길 15 ,박물관,,
94,리틀프린스뮤지엄,제주특별자치도 서귀포시 중문관광로110번길 15 ,박물관,,
95,조안베어뮤지엄,제주특별자치도 서귀포시 대포로 113 ,박물관,,09:00 ~ 17:00
96,비오토피아 수풍석박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 79 ,박물관,2.0점,
97,제주신영영화박물관 (휴관중),제주특별자치도 서귀포시 남원읍 태위로 536 ,박물관,2.5점,
98,아니메피규어박물관,제주특별자치도 서귀포시 안덕면 중산간서로 1878 2층 ,박물관,5.0점,09:00 ~ 17:30
99,공룡과동물농장,제주특별자치도 서귀포시 성산읍 난산로 293 ,박물관,,09:30 ~ 17:30
100,제주미니미니랜드,제주특별자치도 제주시 조천읍 비자림로 606 ,박물관,,
101,메이즈랜드 미로박물관,제주특별자치도 제주시 구좌읍 비자림로 2134-47 ,박물관,,
102,알프스얼음보석궁전 테마파크뮤지엄,제주특별자치도 제주시 한경면 연명로 147 ,박물관,,
103,제주대학교 박물관,제주특별자치도 제주시 제주대학로 102 ,박물관,,10:00 ~ 17:00
104,한라산국립공원 산악박물관,제주특별자치도 제주시 산록북로 588 ,박물관,3.0점,09:00 ~ 17:00
105,백년초박물관,제주특별자치도 서귀포시 태평로 200 ,박물관,3.0점,09:00 ~ 18:00
106,조랑말박물관,제주특별자치도 서귀포시 표선면 녹산로 381-15 ,박물관,4.5점,10:00 ~ 18:00
107,예나르제주공예박물관,제주특별자치도 제주시 한경면 저지14길 36 ,박물관,5.0점,
108,제주옹기박물관,제주특별자치도 서귀포시 대정읍 무영로254번길 3-1 ,박물관,,
109,제주공룡랜드 자연사박물관(휴업중),제주특별자치도 제주시 애월읍 광령평화2길 1 ,박물관,,
110,사계 발자국화석 발견지,제주특별자치도 서귀포시 대정읍 형제해안로 192 ,박물관,5.0점,
111,조안스튜디오,제주특별자치도 서귀포시 대포로 113 ,테디베어뮤지엄,,
112,제주월드컵경기장 세계성문화박물관,제주특별자치도 서귀포시 월드컵로 33 ,박물관,2.7점,09:00 ~ 20:00
113,이랜드뮤지엄,"제주특별자치도 제주시 한림읍 한림해안로 530 1,3층 ",박물관,,09:00 ~ 18:00
114,화석박물관 (휴관중),제주특별자치도 서귀포시 표선면 하천로 11 ,박물관,,
115,대장금미니테마파크,제주특별자치도 서귀포시 표선면 민속해안로 631-34 ,박물관,,08:30 ~ 18:00
116,선녀와나무꾼 테마공원 민속박물관,제주특별자치도 제주시 조천읍 선교로 267 ,박물관,,
117,몽유도원 오백년이야기,제주특별자치도 서귀포시 성산읍 난고로 336-20 ,박물관,,
118,SN박물관,제주특별자치도 제주시 구좌읍 금백조로 930 ,박물관,,
119,피규어뮤지엄제주 별관,제주특별자치도 서귀포시 안덕면 한창로 239 ,박물관,,
120,천년의미,제주특별자치도 제주시 영평길 274 1층 ,박물관,4.0점,10:00 ~ 19:00
121,조수리박물관,제주특별자치도 제주시 한경면 용금로 449 ,박물관,,
122,탐라신들의고향,제주특별자치도 제주시 조천읍 선교로 474 ,박물관,,
123,국립제주박물관 복합문화전시관,제주특별자치도 제주시 일주동로 17 ,박물관,5.0점,
124,제주돌마을공원 수석박물관,제주특별자치도 제주시 한림읍 금능남로 421 ,박물관,,09:00 ~ 18:00
125,두손지중 박물관,제주특별자치도 서귀포시 안덕면 산록남로762번길 79 ,박물관,,
126,선녀와나무꾼 테마공원 자수박물관,제주특별자치도 제주시 조천읍 선교로 267 ,박물관,,
127,해외개척자야외박물관,제주특별자치도 서귀포시 대정읍 마라로 113 ,박물관,,
128,선녀와나무꾼 테마공원 농업박물관,제주특별자치도 제주시 조천읍 선교로 267 ,박물관,,
129,봉황솟대박물관,제주특별자치도 제주시 한경면 명이2길 66 ,박물관,,
130,국립제주박물관 관사,제주특별자치도 제주시 일주동로 17 ,박물관,,
131,제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34 ,민속촌,,08:30 ~ 18:00
132,제주 유리의성 (휴관중),제주특별자치도 제주시 한경면 녹차분재로 462 ,테마파크,,
133,방림원,제주특별자치도 제주시 한경면 용금로 864 ,"수목원,식물원",,09:00 ~ 17:00
134,제주공룡랜드 (휴업중),제주특별자치도 제주시 애월읍 광령평화2길 1 ,테마파크,,09:30 ~ 18:30
135,테디베어하우스 테지움 제주점,제주특별자치도 제주시 애월읍 평화로 2159 ,테마파크,,09:00 ~ 19:00
136,석부작박물관 매표소,제주특별자치도 서귀포시 일주동로 8941 ,매표소,,
137,세계자동차&피아노박물관 주차장,제주특별자치도 서귀포시 안덕면 중산간서로 1610 ,주차장,,
138,바이나흐튼 크리스마스박물관 주차장,제주특별자치도 서귀포시 안덕면 평화로 654 ,주차장,,
139,본태박물관 주차장,제주특별자치도 서귀포시 안덕면 산록남로762번길 69 ,주차장,,
140,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 28,오름,4.5점,
141,새별오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,오름,4.3점,
142,도두봉,제주특별자치도 제주시 도두일동 산 2,오름,4.7점,
143,산굼부리,제주특별자치도 제주시 조천읍 교래리 166-2,오름,3.9점,09:00 ~ 18:40
144,금오름,제주특별자치도 제주시 한림읍 금악리 산 1-1,오름,4.6점,
145,저지오름,제주특별자치도 제주시 한경면 저지리 산 51,오름,4.3점,
146,물영아리,제주특별자치도 서귀포시 남원읍 수망리 산 188,오름,4.4점,
147,큰노꼬메오름,제주특별자치도 제주시 애월읍 유수암리 산 138,오름,4.9점,
148,영주산,제주특별자치도 서귀포시 표선면 성읍리 산 18-1,오름,4.5점,
149,문도지오름,제주특별자치도 제주시 한림읍 금악리 3445,오름,4.7점,
150,아끈다랑쉬오름,제주특별자치도 제주시 구좌읍 세화리 2593-2,오름,4.5점,
151,민오름,제주특별자치도 제주시 오라이동 산 28-1,오름,4.3점,
152,사라오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-1,오름,,
153,붉은오름,제주특별자치도 서귀포시 표선면 가시리 산 158,오름,4.3점,
154,당산봉,제주특별자치도 제주시 한경면 용수리 산 28,오름,4.8점,
155,궷물오름,제주특별자치도 제주시 애월읍 유수암리 산 136-6,오름,3.2점,
156,이승이오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,오름,4.6점,
157,쇠머리오름,제주특별자치도 제주시 우도면 연평리 산 23,오름,,
158,정물오름,제주특별자치도 제주시 한림읍 금악리 산 52-1,오름,4.3점,
159,두산봉,제주특별자치도 서귀포시 성산읍 시흥리 2661,오름,4.5점,
160,한라산 웃세붉은오름,제주특별자치도 서귀포시 서호동 산 183-1,오름,,
161,제지기오름,제주특별자치도 서귀포시 보목동 275-1,오름,,
162,윗세오름,제주특별자치도 서귀포시 서호동 산 1-1,오름,,
163,단산,제주특별자치도 서귀포시 대정읍 인성리 21-2,오름,4.6점,
164,베릿내오름,제주특별자치도 서귀포시 중문동 3712,오름,3.7점,
165,큰사슴이오름,제주특별자치도 서귀포시 표선면 가시리 산 68-9,오름,4.7점,
166,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1593-2,오름,,
167,큰바리메,제주특별자치도 제주시 애월읍 어음리 산 21,오름,4.3점,
168,검은오름,제주특별자치도 제주시 연동 산 110-1,오름,3.9점,
169,거슨세미오름,제주특별자치도 제주시 구좌읍 송당리 산 145,오름,4.2점,
